fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,tasa_variacion,media_movil_7d,retorno_acumulado,desviacion_total
2007-10-19,39.8,40.35,37.3,37.3,36.14,88.1,1.152484273211544,-0.06375502008032141,38.965714285714284,0.30877192982456103,233.03236943430136
2007-10-22,37.25,39.68,36.48,38.64,37.44,157.5,1.1655127626928596,0.035924932975871515,38.598571428571425,0.35578947368421043,233.03236943430136
2007-10-23,39.57,44.12,39.57,42.83,41.5,336.1,2.098289779796863,0.10843685300207029,38.93714285714286,0.5028070175438595,233.03236943430136
2007-10-24,42.23,42.39,37.47,39.38,38.16,358.4,2.0463675134246957,-0.08055101564324063,39.07142857142857,0.3817543859649122,233.03236943430136
2007-10-25,39.35,40.35,38.36,40.03,38.79,108.8,2.0537356207652366,0.01650584052818682,39.51428571428572,0.4045614035087717,233.03236943430136
2007-10-26,40.11,43.35,39.66,43.07,41.73,232.6,2.0339739428026125,0.07594304271796148,40.15571428571429,0.5112280701754384,233.03236943430136
2007-10-29,43.16,45.92,42.38,44.59,43.21,341.6,2.1957458869368423,0.03529138611562588,40.83428571428572,0.5645614035087718,233.03236943430136
2007-10-30,44.6,48.16,44.6,45.86,44.44,405.4,2.8187284367246317,0.028481722359273265,42.05714285714286,0.6091228070175436,233.03236943430136
2007-10-31,46.18,46.18,41.14,44.68,43.29,336.2,2.251073077445539,-0.025730484081988636,42.92,0.5677192982456138,233.03236943430136
2007-11-01,44.21,44.4,40.5,41.36,40.08,287.1,1.73679877936396,-0.07430617726051925,42.71,0.45122807017543853,233.03236943430136
2007-11-02,42.03,45.0,40.5,44.34,42.97,246.1,1.6746283169707097,0.07205029013539654,43.41857142857144,0.5557894736842104,233.03236943430136
2007-11-05,43.2,44.94,42.28,43.53,42.18,138.5,1.6746283169707064,-0.01826792963464141,43.91857142857143,0.5273684210526315,233.03236943430136
2007-11-06,43.5,45.8,43.2,45.48,44.07,138.2,1.5719796436341456,0.04479669193659541,44.26285714285715,0.5957894736842104,233.03236943430136
2007-11-07,44.34,44.84,37.34,39.4,38.18,462.7,2.435060574195247,-0.13368513632365875,43.521428571428565,0.38245614035087705,233.03236943430136
2007-11-08,40.0,40.0,36.18,37.52,36.36,346.6,3.418432389268514,-0.04771573604060897,42.33,0.3164912280701755,233.03236943430136
2007-11-09,37.77,37.77,34.39,36.76,35.62,287.7,3.8095957790820747,-0.02025586353944575,41.19857142857143,0.28982456140350865,233.03236943430136
2007-11-12,36.65,38.0,32.67,35.18,34.09,310.3,3.9957377291308616,-0.04298150163220893,40.315714285714286,0.2343859649122806,233.03236943430136
